Calculus	Huang_Aiqun	D9_C301	   1 2 3 4    5 0 7 8 9 10 11 12 13 14 15 16 17 18    1 3 5 
English	Ding_Yi	D9_C202	   3 4 5 6    5 0 7 8 9 10 11 12 13 14 15 16 17 18    1 3 5 
C_Program	Luo_Ye	D9_C302	   3 4 0 0    5 0 7 8 9 10 11 12 13 14 15 16 17 18    2 0 0 
Egn_Draw	Li_Ruoqiu	D12_104	   5 6 7 8    0 0 7 8 9 10 11 12 13 14 15 16 17 18    2 0 0 
SiXiu	Hong_Ming	D9-C403	   3 4 0 0    5 0 7 8 9 10 11 12 13 14 15 16 17 18    4 0 0 
Chinese	Zhang_Yuesheng	D12_F202	   1 2 3 4    0 0 7 8 9 10 11 12 13 14 15 16 17 0    2 0 0 
Tennis	Shun_Jing	TennisCourt	   3 4 0 0    5 0 7 8 9 10 11 12 13 14 15 16 17 18    3 0 0 
C_ShangJi	Luo_Ye	CptHouse	   9 10 0 0    0 0 7 0 9 10 11 0 13 14 15 16 17 18    2 0 0 
